Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close,order_number,risk_of_PAD
2017-11-01,0,0,0.0,1.0,0.0,7.2,2.0,0.0027824700810015,0.0027970399241894,0.0024423499125987,0.0025104600936174,1398750.0,164505906.057,2017-11-01T00:00:00.000Z,2017-11-01T00:14:25.000Z,2017-11-01T20:39:25.000Z,2017-11-01T23:59:59.999Z,3,0
2017-11-02,1,1,0.0,0.7638,0.2362,4.8,1.4,0.002523629926145,0.0026242199819535,0.0021410800982266,0.0023117798846215,1429590.0,151486764.778,2017-11-02T00:00:00.000Z,2017-11-02T02:54:23.000Z,2017-11-02T11:09:25.000Z,2017-11-02T23:59:59.999Z,3,0
2017-11-03,2,0,0.0,0.9616,0.0384,9.8,3.2,0.0023038999643176,0.0023729701060801,0.0021152799017727,0.0022273398935794,1588360.0,145953564.206,2017-11-03T00:00:00.000Z,2017-11-03T06:19:23.000Z,2017-11-03T20:09:23.000Z,2017-11-03T23:59:59.999Z,3,0
2017-11-04,3,1,0.045,0.837,0.117,6.0,2.0,0.0022279699333012,0.0023252100218087,0.0021230999846011,0.002127950079739,1696040.0,139440717.157,2017-11-04T00:00:00.000Z,2017-11-04T14:39:23.000Z,2017-11-04T23:54:23.000Z,2017-11-04T23:59:59.999Z,3,0
2017-11-06,4,0,0.02825,0.925625,0.046125,0.375,0.0,0.0022134599275887,0.0022891499102115,0.0020740900654345,0.0021253700833767,1719120.0,139271654.42,2017-11-06T00:00:00.000Z,2017-11-06T03:14:27.000Z,2017-11-06T15:24:26.000Z,2017-11-06T23:59:59.999Z,3,0
2017-11-07,5,0,0.0,1.0,0.0,9.8,4.0,0.0021449299529194,0.0022630998864769,0.0020993601065129,0.0021835200022906,1497470.0,143082118.812,2017-11-07T00:00:00.000Z,2017-11-07T08:49:25.000Z,2017-11-07T00:44:25.000Z,2017-11-07T23:59:59.999Z,3,0
2017-11-10,6,0,0.0781666666666666,0.7995,0.1223333333333333,2.333333333333333,0.6666666666666666,0.0023350999690592,0.0023496900685131,0.0019887799862772,0.0020125999581068,2193620.0,131882040.156,2017-11-10T00:00:00.000Z,2017-11-10T01:09:24.000Z,2017-11-10T21:24:25.000Z,2017-11-10T23:59:59.999Z,3,0
2017-11-11,7,0,0.0,1.0,0.0,12.666666666666666,4.333333333333333,0.0020262999460101,0.0022976798936724,0.0018904999596998,0.002003249945119,1748460.0,131269351.557,2017-11-11T00:00:00.000Z,2017-11-11T11:34:24.000Z,2017-11-11T16:09:25.000Z,2017-11-11T23:59:59.999Z,3,0
2017-11-12,8,0,0.0,1.0,0.0,0.0,0.0,0.0020057898946106,0.0020057898946106,0.0016843499615788,0.0017826199764385,2174370.0,116811866.453,2017-11-12T00:00:00.000Z,2017-11-12T00:04:25.000Z,2017-11-12T06:54:24.000Z,2017-11-12T23:59:59.999Z,3,0
2017-11-13,9,0,0.0,1.0,0.0,0.0,0.0,0.001795409945771,0.0021461900323629,0.0017707300139591,0.0021118100266903,2889150.0,138562595.981,2017-11-13T00:00:00.000Z,2017-11-13T13:24:27.000Z,2017-11-13T00:19:25.000Z,2017-11-13T23:59:59.999Z,3,0
2017-11-14,10,1,0.0,0.8943333333333333,0.1056666666666666,4.111111111111111,1.5555555555555556,0.0021112100221216,0.002565860049799,0.0020632299128919,0.0024850899353623,4040400.0,163054688.464,2017-11-14T00:00:00.000Z,2017-11-14T17:29:32.000Z,2017-11-14T00:14:24.000Z,2017-11-14T23:59:59.999Z,3,0
2017-11-15,11,0,0.0,0.8914,0.1086,5.6,2.0,0.0024442900903522,0.0025000700261443,0.0021880900021642,0.002322319895029,5008060.0,152374829.126,2017-11-15T00:00:00.000Z,2017-11-15T00:44:26.000Z,2017-11-15T17:29:32.000Z,2017-11-15T23:59:59.999Z,3,0
2017-11-16,12,-1,0.106,0.8827499999999999,0.011375,4.875,1.125,0.0023234500549733,0.0023377800825983,0.0018227200489491,0.002209180034697,5082450.0,144951352.531,2017-11-16T00:00:00.000Z,2017-11-16T01:54:25.000Z,2017-11-16T11:24:29.000Z,2017-11-16T23:59:59.999Z,3,0
2017-11-17,13,-1,0.0925,0.8585,0.049,1.0,0.0,0.0021869901102036,0.0021887300536036,0.0019494800362735,0.0019840400200337,5720510.0,130179198.379,2017-11-17T00:00:00.000Z,2017-11-17T00:09:29.000Z,2017-11-17T21:44:29.000Z,2017-11-17T23:59:59.999Z,3,0
2017-11-18,14,1,0.0,0.805,0.195,2.0,0.4,0.0019799799192696,0.0020426500122994,0.001905670040287,0.00202800007537,5709820.0,133063554.32,2017-11-18T00:00:00.000Z,2017-11-18T23:39:30.000Z,2017-11-18T14:49:26.000Z,2017-11-18T23:59:59.999Z,3,0
2017-11-19,15,1,0.0,0.8335,0.1664999999999999,11.25,2.75,0.0020202700980007,0.002112670103088,0.0019511500140652,0.002001600107178,4289470.0,131331366.039,2017-11-19T00:00:00.000Z,2017-11-19T06:34:27.000Z,2017-11-19T21:59:28.000Z,2017-11-19T23:59:59.999Z,3,0
2017-11-20,16,0,0.0,1.0,0.0,73.28571428571429,22.0,0.001992650097236,0.0021847200114279,0.001992650097236,0.0021337699145078,3909200.0,140003461.687,2017-11-20T00:00:00.000Z,2017-11-20T22:24:34.000Z,2017-11-20T00:04:27.000Z,2017-11-20T23:59:59.999Z,3,0
2017-11-21,17,0,0.0,1.0,0.0,0.0,0.0,0.0021481800358742,0.0021993499249219,0.0020049600861966,0.002143430057913,3417520.0,140637285.126,2017-11-21T00:00:00.000Z,2017-11-21T18:54:35.000Z,2017-11-21T05:24:33.000Z,2017-11-21T23:59:59.999Z,3,0
2017-11-22,18,1,0.0186666666666666,0.8483333333333333,0.133,7.666666666666667,2.833333333333333,0.0021456799004226,0.002540280111134,0.0021219800692051,0.0023024200927466,4119730.0,151069126.596,2017-11-22T00:00:00.000Z,2017-11-22T09:44:32.000Z,2017-11-22T02:49:34.000Z,2017-11-22T23:59:59.999Z,3,0
2017-11-23,19,1,0.0273333333333333,0.749,0.2233333333333333,10.0,4.666666666666667,0.0023114499635994,0.0024286799598485,0.0020428600255399,0.0021049799397587,4402340.0,138114457.876,2017-11-23T00:00:00.000Z,2017-11-23T04:34:31.000Z,2017-11-23T20:34:30.000Z,2017-11-23T23:59:59.999Z,3,0
2017-11-24,20,-1,0.1456,0.7998000000000001,0.0546,1.4,0.4,0.0021056199911981,0.0021629000548273,0.0019690298940986,0.0020248899236321,4204470.0,132859497.291,2017-11-24T00:00:00.000Z,2017-11-24T00:49:30.000Z,2017-11-24T09:24:28.000Z,2017-11-24T23:59:59.999Z,3,0
2017-11-25,21,-1,0.1163333333333333,0.8563333333333333,0.0273333333333333,0.0,0.0,0.0020271700341254,0.0021092800889164,0.0019929399713873,0.0020479399245232,4704770.0,134371881.378,2017-11-25T00:00:00.000Z,2017-11-25T14:09:33.000Z,2017-11-25T02:29:30.000Z,2017-11-25T23:59:59.999Z,3,0
2017-11-26,22,-1,0.083,0.889,0.028,0.5,0.5,0.0020495799835771,0.0021897701080888,0.001971110003069,0.0021381399128586,6245890.0,140471933.238,2017-11-26T00:00:00.000Z,2017-11-26T19:44:30.000Z,2017-11-26T13:54:29.000Z,2017-11-26T23:59:59.999Z,3,0
2017-11-27,23,0,0.0,0.8335,0.1665,18.0,3.5,0.0021506301127374,0.0022245598956942,0.0020088900346308,0.0020616000983864,6405580.0,135546473.607,2017-11-27T00:00:00.000Z,2017-11-27T04:59:31.000Z,2017-11-27T12:09:33.000Z,2017-11-27T23:59:59.999Z,3,0
2017-11-28,24,0,0.0,1.0,0.0,27.0,9.0,0.0020616599358618,0.0023904999252408,0.0019905599765479,0.0023080199025571,6065010.0,151748143.197,2017-11-28T00:00:00.000Z,2017-11-28T15:09:36.000Z,2017-11-28T02:04:30.000Z,2017-11-28T23:59:59.999Z,3,0
2017-11-29,25,0,0.0,1.0,0.0,9.0,3.5,0.0023101500701159,0.0026096599176526,0.0019351700320839,0.0020682699978351,7852660.0,135985014.051,2017-11-29T00:00:00.000Z,2017-11-29T14:19:36.000Z,2017-11-29T19:49:38.000Z,2017-11-29T23:59:59.999Z,3,0
2017-11-30,26,0,0.0,0.9035,0.0964999999999999,10.833333333333334,3.5,0.0020902000833302,0.0023003099486231,0.0020307700615376,0.0022438101004809,4155450.0,147526451.758,2017-11-30T00:00:00.000Z,2017-11-30T04:59:29.000Z,2017-11-30T13:59:34.000Z,2017-11-30T23:59:59.999Z,3,0
2017-12-01,27,-1,0.0917142857142857,0.818,0.0902857142857142,5.571428571428571,2.2857142857142856,0.0022410100791603,0.0022465800866484,0.0020568200852721,0.0021180899348109,6294070.0,139260589.0,2017-12-01T00:00:00.000Z,2017-12-01T00:34:29.000Z,2017-12-01T09:19:30.000Z,2017-12-01T23:59:59.999Z,3,0
2017-12-02,28,-1,0.0852,0.8882,0.0266,1.0,0.0,0.0021102901082485,0.0022119299974292,0.0020319600589573,0.0020727899391204,5760180.0,136282195.881,2017-12-02T00:00:00.000Z,2017-12-02T01:54:32.000Z,2017-12-02T16:49:34.000Z,2017-12-02T23:59:59.999Z,3,0
2017-12-03,29,1,0.0,0.8685,0.1315,1.0,0.0,0.002079979982227,0.0022040500771254,0.0020335300359874,0.0021159800235182,7261200.0,139121860.314,2017-12-03T00:00:00.000Z,2017-12-03T13:04:32.000Z,2017-12-03T22:14:33.000Z,2017-12-03T23:59:59.999Z,3,0
2017-12-06,30,0,0.0321818181818181,0.9081818181818182,0.0596363636363636,0.5454545454545454,0.0,0.0020679500885307,0.0040767798200249,0.0020679500885307,0.003054830012843,33314700.0,200849550.82,2017-12-06T00:00:00.000Z,2017-12-06T21:09:43.000Z,2017-12-06T00:04:40.000Z,2017-12-06T23:59:59.999Z,3,0
2017-12-07,31,0,0.00753125,0.90071875,0.09178125,6.21875,2.3125,0.0031337800901383,0.0058076600544154,0.0029742100741714,0.0042745601385831,44215300.0,281044593.628,2017-12-07T00:00:00.000Z,2017-12-07T04:19:36.000Z,2017-12-07T00:19:38.000Z,2017-12-07T23:59:59.999Z,3,0
2017-12-08,32,0,0.0356,0.9144,0.05,11.4,3.0,0.0043109101243317,0.0047310697846114,0.0036817600484937,0.0043944302015006,21605600.0,288925829.46,2017-12-08T00:00:00.000Z,2017-12-08T08:24:33.000Z,2017-12-08T05:44:37.000Z,2017-12-08T23:59:59.999Z,3,0
2017-12-09,33,0,0.0,0.9591428571428572,0.0408571428571428,0.7142857142857143,0.2857142857142857,0.0044410498812794,0.0047892900183796,0.0043048099614679,0.0044732801616191,17520500.0,294110074.437,2017-12-09T00:00:00.000Z,2017-12-09T05:24:45.000Z,2017-12-09T18:04:42.000Z,2017-12-09T23:59:59.999Z,3,0
2017-12-10,34,0,0.0,0.9456,0.0544,0.4,0.2,0.0044521801173686,0.0046303099952638,0.0034889299422502,0.0044077299535274,18145200.0,289800280.42,2017-12-10T00:00:00.000Z,2017-12-10T14:04:36.000Z,2017-12-10T04:09:41.000Z,2017-12-10T23:59:59.999Z,3,0
2017-12-11,35,0,0.0,0.911,0.089,16.727272727272727,7.181818181818182,0.0044356300495564,0.005281529854983,0.0043832901865243,0.005281529854983,20137200.0,347251051.005,2017-12-11T00:00:00.000Z,2017-12-11T23:59:41.000Z,2017-12-11T00:14:38.000Z,2017-12-11T23:59:59.999Z,3,0
2017-12-12,36,0,0.0118,0.936775,0.051425,4.55,1.275,0.005176989827305,0.0076750298030674,0.0049025500193238,0.0076132398098707,48699100.0,500556768.882,2017-12-12T00:00:00.000Z,2017-12-12T23:39:42.000Z,2017-12-12T04:14:41.000Z,2017-12-12T23:59:59.999Z,3,0
